Video,MSE,SpearmanR,dMAE,PeakF1
-esJrBWj2d8_aligned.npz,0.07795234024524689,0.14969599129002104,0.10705991089344025,0.3478255718343678
0tmA_C6XwfM_aligned.npz,0.003501622937619686,0.9470371124749327,0.06346364319324493,0.7272721611573747
37rzWOQsNIw_aligned.npz,0.012289869599044323,0.8531619421989329,0.07316718995571136,0.9743584247208373
3eYKfiOEJNs_aligned.npz,0.020353807136416435,0.7754700235808618,0.06574364006519318,0.7878782405880147
4wU_LUjG5Ic_aligned.npz,0.007405357901006937,0.8952101969949322,0.055863332003355026,0.9230763520712822
91IHQYk1IQM_aligned.npz,0.07264954596757889,-0.20611923594150977,0.1199556216597557,0.18181766529063273
98MoyGZKHXc_aligned.npz,0.01968235895037651,0.709013145617763,0.051499463617801666,0.9333327711113831
AwmHb44_ouw_aligned.npz,0.0950988158583641,-0.09587724885234448,0.10480482131242752,0.11428521102259576
Bhxk-O1Y7Ho_aligned.npz,0.11655140668153763,-0.08235176594455287,0.10888973623514175,0.0666661651889352
E11zDS9XGzg_aligned.npz,0.00953067559748888,0.8199033033184915,0.054373305290937424,0.8431367383701546
EE-bNr36nyA_aligned.npz,0.1292891949415207,-0.20930605420359638,0.15076981484889984,0.0
EYqVtI9YWJA_aligned.npz,0.011483078822493553,0.9037581353996288,0.07760131359100342,0.7499994637503334
GsAD1KT1xo8_aligned.npz,0.011831529438495636,0.8326313113232404,0.09090828150510788,0.5714280306126854
HT5vyqe0Xaw_aligned.npz,0.0018585133366286755,0.9625921035306219,0.042843081057071686,0.8615379351482199
Hl-__g2gn_A_aligned.npz,0.0022072577849030495,0.971301563125336,0.05283201485872269,0.8421047188368643
J0nA4VgnoCo_aligned.npz,0.0031068993266671896,0.9448178270660305,0.0372992567718029,0.934782088374559
JKpqYvAdIsw_aligned.npz,0.02003667503595352,0.807231695373903,0.11832103133201599,0.49999945833383685
JgHubY5Vw3Y_aligned.npz,0.02348857745528221,0.7596916413899469,0.05832156911492348,0.9999994285716838
LRw_obCPUt0_aligned.npz,0.015981458127498627,0.9073418292776004,0.06271820515394211,0.7499994625003352
NyBmCxDoHJU_aligned.npz,0.014521535485982895,0.8434551816626888,0.08656047284603119,0.7999994466669827
PJrm840pAUI_aligned.npz,0.01078763697296381,0.7691389702802817,0.07295544445514679,0.8571423163268242
RBCABdttQmI_aligned.npz,0.009773679077625275,0.814642749310348,0.051152367144823074,0.888888364197813
Se3oxnaPsz0_aligned.npz,0.01022108644247055,0.876120242866378,0.09336456656455994,0.7692302100595013
VuWGsYPqAX8_aligned.npz,0.059343159198760986,0.1840014011898172,0.16097962856292725,0.3333328148155658
WG0MBPpPC6I_aligned.npz,0.01858130656182766,0.7965605156830067,0.0797957181930542,0.5079359919380082
WxtbjNsCQ8A_aligned.npz,0.0036993545945733786,0.9582412267251427,0.05409165099263191,0.8461533136097641
XkqCExn6_Us_aligned.npz,0.05344210937619209,0.34851546436728925,0.09297134727239609,0.38888836728459464
XzYM3PfTM4w_aligned.npz,0.004560472909361124,0.9524757339440532,0.07978364080190659,0.8181812438019653
Yi4Ij2NM7U4_aligned.npz,0.001455761375837028,0.9774671416051981,0.04213746637105942,0.9374994707033926
_xMr-HKMfVA_aligned.npz,0.006555204279720783,0.9204562858947704,0.06725718080997467,0.8571422959186634
akI8YFjEmUw_aligned.npz,0.006885750684887171,0.8954137620591696,0.07139146327972412,0.8461532810653893
b626MiF1ew4_aligned.npz,0.02041272073984146,0.720999413392242,0.09427626430988312,0.4186041449437782
byxOvuiIJV0_aligned.npz,0.006409677676856518,0.884076631584458,0.07276106625795364,0.916666090278057
cjibtmSLxQ4_aligned.npz,0.0022634610068053007,0.9729644058525647,0.042994096875190735,0.8992242922904051
eQu1rNs0an0_aligned.npz,0.027246175333857536,0.7622382255656704,0.08607172966003418,0.6249994609379025
fWutDQy1nnY_aligned.npz,0.0031970557756721973,0.969289612906365,0.04251328483223915,0.7413787975627631
gzDbaEs1Rlg_aligned.npz,0.030456548556685448,0.7019450321314331,0.06957107782363892,0.45833281423665734
i3wAGJaaktw_aligned.npz,0.012998035177588463,0.8872250902107606,0.07213415950536728,0.6666661222226002
iVt07TCkFM0_aligned.npz,0.005441705696284771,0.9505674162493426,0.08675417304039001,0.8749993906252995
jcoYJXDG9sw_aligned.npz,0.10069993883371353,0.05541987332501054,0.10344616323709488,0.05263107618203542
kLxoNp-UchI_aligned.npz,0.008536516688764095,0.9370980208781187,0.09287300705909729,0.6923071420121949
oDXZc0tZe04_aligned.npz,0.00981544703245163,0.8970763376944719,0.058046530932188034,0.727272208467202
qqR6AEXwxoQ_aligned.npz,0.0027330638840794563,0.9182874910139903,0.04494234174489975,0.8928566135206863
sTEELN-vY30_aligned.npz,0.024118918925523758,0.701107021722672,0.07761720567941666,0.5142852048984066
uGu_10sucQo_aligned.npz,0.005925765726715326,0.948030857528421,0.0633094534277916,0.8461532810653893
vdmoEJ5YbrQ_aligned.npz,0.002066713757812977,0.93593371240805,0.04702261462807655,0.9062494716799643
xmEERLqJ2kU_aligned.npz,0.011234701611101627,0.9258424286287446,0.04435108229517937,0.4545449442154263
xwqBXPGE9pQ_aligned.npz,0.009675681591033936,0.8964671261109121,0.062220510095357895,0.7391299026468425
xxdtq8mxegs_aligned.npz,0.021427325904369354,0.7280812199556769,0.07434337586164474,0.8571422959186634
z_6gVvQb2d0_aligned.npz,0.08705748617649078,0.043076297412874234,0.11419782042503357,0.11111060699813491
